################################### RECORDED ###################################
# Collectl:   V2.1.0  HiRes: 1  Options:  Subsys: cnd
################################################################################
# Collectl:   V2.6.2  HiRes: 1  Options: -s+CDN -ocz 
# Host:       client  DaemonOpts: 
# Distro:     1
# Date:       20061010-182526  Secs: 1160519126 TZ: -0400
# SubSys:     cndCDN SubOpts:  Options: cz  Interval: 1 NumCPUs: 2  Flags: 
# HZ:         1024  Arch: ia64-linux-thread-multi PageSize: 16384
# Cpu:         Speed(MHz):  Cores:   Siblings: 
# Kernel:     2.6.9-22.10hp.XCsmp  Memory: 8302944  Swap: 
# NumDisks:   3 DiskNames: sda sdb c0d0
# NumNets:    6 NetNames: lo eth0:?? eth1:?? eth2:?? eth3:?? sit0
# SCSI:       DA:0:00:00:00 DA:0:00:01:00 CD:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20061010 18:25:27 0 0 0 0 0 0 0 100 0 2048 22 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:28 0 0 0 0 0 0 0 100 0 2072 44 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:29 0 0 0 0 0 0 0 100 0 2048 26 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:30 0 0 0 0 0 0 0 100 0 2072 44 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:31 0 0 0 0 0 0 0 99 0 2051 22 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 204 204 0 48 48
20061010 18:25:32 0 0 0 0 0 0 0 100 0 2072 46 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:33 0 0 0 0 0 0 0 100 0 2048 27 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:34 0 0 0 0 0 0 0 100 0 2072 44 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:35 0 0 0 0 0 0 0 100 0 2048 20 0 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20061010 18:25:36 2 0 3 0 1 5 0 88 12 7707 3393 3 129 0 0 0 0 3660 18786 251 125870 0 0 0 0 0 0 0 0 0 0 0 0 0 0
